	propertyLabel	propName_record_count	propUrl_record_count	propType_record_count
0	citation	367459	386949	15647
1	citedBy	17403	8456	14293
2	isPartOf	12532	12527	72
3	hasPart	54166	12541	101
4	isBasedOn	403004	406889	560
5	isBasisFor	80	117	182
6	author	3116793	10682	554216
7	creator	5506	0	5506
8	includedInDataCatalog	4507110	4507100	4507100
9	sdPublisher	2524075	360336	258683
10	funding	221004	167833	0
11	funding.funder	334423	69	0
12	distribution	25291	0	570977
13	spatialCoverage	25980	0	661
14	temporalCoverage	0	0	0
15	infectiousAgent	426230	426230	0
16	species	1336289	1020090	0
17	healthCondition	331977	330598	0
18	measurementTechnique	1660737	27933	0
19	topicCategory	2847402	849183	0
20	about	37	37	37
