	propertyLabel	propName_record_count	sourceName	propUrl_record_count	propType_record_count
0	citation	3	AccessClinicalData@NIAID	8	0
1	citation	0	biotools	0	0
2	citation	57	ClinEpiDB	57	0
3	citation	0	Data+Discovery+Engine	0	0
4	citation	0	Dryad+Digital+Repository	0	0
5	citation	0	Figshare	0	0
6	citation	0	Flow+Repository	0	0
7	citation	0	Harvard+Dataverse	0	0
8	citation	0	HuBMAP	0	0
9	citation	0	Human+Cell+Atlas	0	0
10	citation	0	ImmPort	0	0
11	citation	0	ImmuneSpace	0	0
12	citation	0	LINCS	0	0
13	citation	0	MalariaGEN	55	0
14	citation	2442	MassIVE	0	0
15	citation	21369	Mendeley	15428	10483
16	citation	23	MicrobiomeDB	23	0
17	citation	0	NCBI+BioProject	0	0
18	citation	0	NCBI+GEO	0	0
19	citation	0	NCBI+SRA	0	0
20	citation	1128	NDEx	1171	0
21	citation	0	NICHD+DASH	0	0
22	citation	0	Omics+Discovery+Index+(OmicsDI)	0	0
23	citation	373	Qiita	373	0
24	citation	0	RADx+Data+Hub	0	0
25	citation	10	ReframeDB	10	0
26	citation	0	The+Database+of+Genotypes+and+Phenotypes	0	0
27	citation	77	VDJServer	77	0
28	citation	2238	VEuPathDB	2238	0
29	citation	0	Vivli	0	0
30	citation	0	Zenodo	38690	0
31	citedBy	0	AccessClinicalData@NIAID	0	0
32	citedBy	0	biotools	0	0
33	citedBy	0	ClinEpiDB	0	0
34	citedBy	0	Data+Discovery+Engine	0	0
35	citedBy	0	Dryad+Digital+Repository	0	0
36	citedBy	0	Figshare	0	0
37	citedBy	0	Flow+Repository	0	0
38	citedBy	0	Harvard+Dataverse	0	0
39	citedBy	0	HuBMAP	0	0
40	citedBy	0	Human+Cell+Atlas	0	0
41	citedBy	1103	ImmPort	1103	1103
42	citedBy	145	ImmuneSpace	145	145
43	citedBy	0	LINCS	0	0
44	citedBy	0	MalariaGEN	0	0
45	citedBy	0	MassIVE	0	0
46	citedBy	0	Mendeley	0	0
47	citedBy	0	MicrobiomeDB	0	0
48	citedBy	0	NCBI+BioProject	0	0
49	citedBy	0	NCBI+GEO	0	0
50	citedBy	0	NCBI+SRA	0	0
51	citedBy	0	NDEx	0	0
52	citedBy	0	NICHD+DASH	0	0
53	citedBy	0	Omics+Discovery+Index+(OmicsDI)	0	0
54	citedBy	0	Qiita	0	0
55	citedBy	0	RADx+Data+Hub	0	0
56	citedBy	0	ReframeDB	0	0
57	citedBy	0	The+Database+of+Genotypes+and+Phenotypes	0	0
58	citedBy	0	VDJServer	0	0
59	citedBy	0	VEuPathDB	0	0
60	citedBy	0	Vivli	0	0
61	citedBy	0	Zenodo	5022	0
62	isPartOf	4	AccessClinicalData@NIAID	4	0
63	isPartOf	0	biotools	0	0
64	isPartOf	0	ClinEpiDB	0	0
65	isPartOf	0	Data+Discovery+Engine	0	0
66	isPartOf	0	Dryad+Digital+Repository	0	0
67	isPartOf	0	Figshare	0	0
68	isPartOf	0	Flow+Repository	0	0
69	isPartOf	0	Harvard+Dataverse	0	0
70	isPartOf	0	HuBMAP	0	0
71	isPartOf	0	Human+Cell+Atlas	0	0
72	isPartOf	0	ImmPort	0	0
73	isPartOf	0	ImmuneSpace	0	0
74	isPartOf	0	LINCS	0	0
75	isPartOf	55	MalariaGEN	55	55
76	isPartOf	0	MassIVE	0	0
77	isPartOf	0	Mendeley	0	0
78	isPartOf	5	MicrobiomeDB	0	0
79	isPartOf	0	NCBI+BioProject	0	0
80	isPartOf	0	NCBI+GEO	0	0
81	isPartOf	0	NCBI+SRA	0	0
82	isPartOf	0	NDEx	0	0
83	isPartOf	0	NICHD+DASH	0	0
84	isPartOf	0	Omics+Discovery+Index+(OmicsDI)	0	0
85	isPartOf	0	Qiita	0	0
86	isPartOf	0	RADx+Data+Hub	0	0
87	isPartOf	0	ReframeDB	0	0
88	isPartOf	0	The+Database+of+Genotypes+and+Phenotypes	0	0
89	isPartOf	0	VDJServer	0	0
90	isPartOf	0	VEuPathDB	0	0
91	isPartOf	0	Vivli	0	0
92	isPartOf	0	Zenodo	0	0
93	hasPart	11	AccessClinicalData@NIAID	11	11
94	hasPart	0	biotools	0	0
95	hasPart	0	ClinEpiDB	0	0
96	hasPart	0	Data+Discovery+Engine	0	0
